Страна,Год,Число студентов из РФ,Регион
Greece,2023,583,Europe
Grenada,2009,3,Latin America
Grenada,2015,5,Latin America
Grenada,2016,5,Latin America
Grenada,2017,10,Latin America
Grenada,2018,10,Latin America
Guatemala,2019,0,Latin America
Guatemala,2023,2,Latin America
Guyana,2010,1,Latin America
Hong Kong,2001,0,Asia
Hong Kong,2002,0,Asia
Hong Kong,2003,0,Asia
Hong Kong,2004,0,Asia
Hong Kong,2005,0,Asia
Hong Kong,2006,0,Asia
Hong Kong,2007,0,Asia
Hong Kong,2008,0,Asia
Hong Kong,2009,0,Asia
Hong Kong,2010,3,Asia
Hong Kong,2011,7,Asia
Hong Kong,2012,13,Asia
Hong Kong,2013,21,Asia
Hong Kong,2014,24,Asia
Hong Kong,2015,32,Asia
Hong Kong,2016,39,Asia
Hong Kong,2017,46,Asia
Hong Kong,2018,52,Asia
Hong Kong,2019,53,Asia
Hong Kong,2020,54,Asia
Hong Kong,2021,60,Asia
Hong Kong,2022,61,Asia
Hong Kong,2023,63,Asia
Hong Kong,2024,77,Asia
Honduras,2003,0,Latin America
Honduras,2010,0,Latin America
Honduras,2012,0,Latin America
Honduras,2014,0,Latin America
Honduras,2015,0,Latin America
Honduras,2016,0,Latin America
Honduras,2017,0,Latin America
Honduras,2018,0,Latin America
Honduras,2019,1,Latin America
Honduras,2024,0,Latin America
Croatia,2001,1,Europe
Croatia,2002,3,Europe
Croatia,2003,1,Europe
Croatia,2005,0,Europe
Croatia,2006,2,Europe
Croatia,2007,0,Europe
Croatia,2008,1,Europe
Croatia,2009,3,Europe
Croatia,2010,1,Europe
Croatia,2011,2,Europe
Croatia,2012,3,Europe
Croatia,2013,1,Europe
Croatia,2014,8,Europe
Croatia,2015,3,Europe
Croatia,2016,7,Europe
Croatia,2017,29,Europe
Croatia,2018,30,Europe
Croatia,2019,40,Europe
Croatia,2020,29,Europe
Croatia,2021,19,Europe
Croatia,2022,28,Europe
Croatia,2023,23,Europe
Hungary,2001,207,Europe
Hungary,2002,217,Europe
Hungary,2003,229,Europe
Hungary,2004,231,Europe
Hungary,2005,212,Europe
Hungary,2006,238,Europe
Hungary,2007,208,Europe
Hungary,2008,204,Europe
Hungary,2009,150,Europe
Hungary,2010,127,Europe
Hungary,2011,110,Europe
Hungary,2012,80,Europe
Hungary,2013,199,Europe
Hungary,2014,173,Europe
Hungary,2015,135,Europe
Hungary,2016,187,Europe
Hungary,2017,277,Europe
Hungary,2018,391,Europe
Hungary,2019,492,Europe
Hungary,2020,552,Europe
Hungary,2021,544,Europe
Hungary,2022,556,Europe
Hungary,2023,562,Europe
Hungary,2024,726,Europe
Indonesia,2005,0,Asia
Indonesia,2006,0,Asia
Indonesia,2007,0,Asia
Indonesia,2008,0,Asia
Indonesia,2015,11,Asia
Indonesia,2016,11,Asia
Indonesia,2017,11,Asia
Indonesia,2018,10,Asia
India,2000,10,Asia
India,2001,12,Asia
India,2002,10,Asia
India,2003,7,Asia
India,2004,5,Asia
India,2005,6,Asia
India,2006,6,Asia
India,2011,27,Asia
India,2012,18,Asia
India,2013,32,Asia
India,2014,27,Asia
India,2015,43,Asia
India,2016,29,Asia
India,2017,33,Asia
India,2018,35,Asia
India,2019,43,Asia
India,2020,36,Asia
India,2021,26,Asia
India,2022,23,Asia
India,2023,23,Asia
Ireland,2000,33,Europe
Ireland,2001,55,Europe
Ireland,2002,56,Europe
Ireland,2003,68,Europe
Ireland,2004,80,Europe
Ireland,2005,122,Europe
Ireland,2006,101,Europe
Ireland,2007,70,Europe
Ireland,2008,75,Europe
Ireland,2009,83,Europe
Ireland,2010,31,Europe
Ireland,2011,74,Europe
Ireland,2012,58,Europe
Ireland,2013,59,Europe
Ireland,2014,59,Europe
Ireland,2015,87,Europe
Ireland,2016,89,Europe
Ireland,2017,87,Europe
Ireland,2018,104,Europe
Ireland,2019,106,Europe
Ireland,2020,107,Europe
Ireland,2021,130,Europe
Ireland,2022,145,Europe
"Iran, Islamic Republic of",2003,0,Asia
"Iran, Islamic Republic of",2004,19,Asia
"Iran, Islamic Republic of",2005,4,Asia
"Iran, Islamic Republic of",2006,6,Asia
"Iran, Islamic Republic of",2007,3,Asia
"Iran, Islamic Republic of",2008,2,Asia
"Iran, Islamic Republic of",2009,0,Asia
"Iran, Islamic Republic of",2010,0,Asia
"Iran, Islamic Republic of",2011,15,Asia
"Iran, Islamic Republic of",2012,7,Asia
"Iran, Islamic Republic of",2013,12,Asia
"Iran, Islamic Republic of",2014,4,Asia
"Iran, Islamic Republic of",2015,2,Asia
"Iran, Islamic Republic of",2016,6,Asia
"Iran, Islamic Republic of",2017,9,Asia
"Iran, Islamic Republic of",2018,14,Asia
"Iran, Islamic Republic of",2019,26,Asia
"Iran, Islamic Republic of",2020,42,Asia
"Iran, Islamic Republic of",2021,78,Asia
"Iran, Islamic Republic of",2022,93,Asia
Iceland,2000,10,Europe
Iceland,2001,12,Europe
Iceland,2002,11,Europe
Iceland,2003,21,Europe
Iceland,2004,30,Europe
Iceland,2006,20,Europe
Iceland,2007,25,Europe
Iceland,2008,20,Europe
Iceland,2009,19,Europe
Iceland,2010,12,Europe
Iceland,2011,19,Europe
Iceland,2012,30,Europe
Iceland,2013,27,Europe
Iceland,2014,43,Europe
Iceland,2016,37,Europe
Iceland,2017,27,Europe
Iceland,2018,34,Europe
Iceland,2019,36,Europe
Iceland,2020,48,Europe
Iceland,2021,45,Europe
Iceland,2022,42,Europe
Iceland,2023,44,Europe
Israel,2010,21,Asia
Israel,2011,35,Asia
Israel,2012,27,Asia
Israel,2013,867,Asia
Israel,2014,750,Asia
Italy,2000,118,Europe
Italy,2001,200,Europe
Italy,2002,237,Europe
Italy,2003,369,Europe
Italy,2004,512,Europe
Italy,2005,600,Europe
Italy,2006,793,Europe
Italy,2007,930,Europe
Italy,2008,949,Europe
Italy,2009,1144,Europe
Italy,2010,1132,Europe
Italy,2011,1515,Europe
Italy,2012,1737,Europe
Italy,2013,2103,Europe
Italy,2014,2019,Europe
Italy,2015,2178,Europe
Italy,2016,2210,Europe
Italy,2017,2303,Europe
Italy,2018,2493,Europe
Italy,2019,1052,Europe
Italy,2020,1554,Europe
Italy,2021,1908,Europe
Italy,2022,2489,Europe
Italy,2023,3047,Europe
Jordan,2000,39,Asia
Jordan,2003,42,Asia
Jordan,2004,39,Asia
Jordan,2005,50,Asia
Jordan,2006,62,Asia
Jordan,2007,37,Asia
Jordan,2008,0,Asia
Jordan,2009,0,Asia
Jordan,2010,36,Asia
Jordan,2011,0,Asia
Jordan,2012,37,Asia
Jordan,2015,55,Asia
Jordan,2016,81,Asia
Jordan,2017,61,Asia
Jordan,2018,71,Asia
Jordan,2019,64,Asia
Jordan,2020,81,Asia
Jordan,2021,100,Asia
Jordan,2022,85,Asia
Jordan,2023,85,Asia
Jordan,2024,72,Asia
Japan,2013,332,Asia
Japan,2014,336,Asia
Japan,2015,359,Asia
Japan,2016,398,Asia
Japan,2017,463,Asia
Japan,2018,489,Asia
Japan,2019,521,Asia
Japan,2020,514,Asia
Japan,2021,457,Asia
Japan,2022,483,Asia
Japan,2023,591,Asia
Kazakhstan,2000,728,Asia
Kazakhstan,2001,866,Asia
Kazakhstan,2003,1659,Asia
Kazakhstan,2004,2177,Asia
Kazakhstan,2005,2516,Asia
Kazakhstan,2006,2880,Asia
Kazakhstan,2007,2857,Asia
Kazakhstan,2008,1914,Asia
Kazakhstan,2009,2074,Asia
Kazakhstan,2010,3600,Asia
Kazakhstan,2011,3373,Asia
Kazakhstan,2012,1993,Asia
Kazakhstan,2013,1315,Asia
Kazakhstan,2014,1202,Asia
Kazakhstan,2015,1270,Asia
Kazakhstan,2016,1097,Asia
Kazakhstan,2017,1136,Asia
Kazakhstan,2018,1234,Asia
Kazakhstan,2019,1511,Asia
